scene,run,psnr,ssim,lpips,ate_rmse,gaussians,fps
freiburg1_desk,1,16.7031,0.6064,0.3364,0.066455,34184,830.56
freiburg2_xyz,1,18.2833,0.6188,0.1981,0.003468,33378,619.58
freiburg3_long_office_household,1,21.8768,0.7560,0.1706,0.009593,64044,576.67
freiburg1_360,1,15.0644,0.5998,0.4831,0.180569,96933,590.49
freiburg1_desk,1,17.4143,0.6296,0.3241,0.022791,31960,797.77
freiburg1_room,1,15.6694,0.5754,0.3979,0.070110,149130,434.69
freiburg1_rpy,1,17.8657,0.6530,0.3117,0.019372,55602,720.62
freiburg2_360_hemisphere,1,18.1658,0.6337,0.3747,0.124799,274720,283.74
freiburg2_360_kidnap,1,15.2628,0.5701,0.4745,0.121463,112885,414.22
freiburg2_large_no_loop,1,17.3129,0.6512,0.4208,0.360653,599777,143.88
freiburg2_pioneer_slam,1,13.4411,0.5995,0.5713,2.012046,262503,288.51
freiburg2_xyz,1,18.2458,0.6181,0.2011,0.003467,33221,617.44
freiburg3_long_office_household,1,19.0580,0.6799,0.2567,0.024265,64218,569.80
freiburg3_structure_texture_near,1,23.7587,0.8266,0.1780,0.009562,40687,912.08
freiburg3_structure_texture_far,1,26.3716,0.8716,0.1004,0.010574,23253,947.24
freiburg3_structure_notexture_near,1,28.6682,0.9372,0.0817,0.022965,22770,765.29
freiburg3_structure_notexture_far,1,28.3281,0.9370,0.0828,0.010869,10610,951.38
freiburg3_nostructure_texture_near_withloop,1,23.7510,0.7859,0.1794,0.012870,54838,885.27
freiburg3_nostructure_texture_far,1,26.8302,0.8817,0.1411,0.066458,19286,1390.43
