scene,run,psnr,ssim,lpips,ate_rmse,gaussians,fps
freiburg1_360,1,14.4833,0.5837,0.4948,0.192631,105320,630.56
freiburg1_desk,1,17.6474,0.6420,0.2992,0.015671,33318,877.81
freiburg1_room,1,16.5341,0.5955,0.3519,0.058597,173655,435.20
freiburg1_rpy,1,17.7681,0.6506,0.3305,0.018430,57861,773.69
freiburg2_360_hemisphere,1,18.0833,0.6230,0.3476,0.111613,293607,289.00
freiburg2_360_kidnap,1,14.1497,0.5381,0.4608,0.123984,150815,404.50
freiburg2_large_no_loop,1,18.3286,0.6534,0.3091,0.136564,543765,192.48
freiburg2_pioneer_slam,1,14.8674,0.5866,0.5184,0.830447,342482,251.31
freiburg2_xyz,1,18.2932,0.6206,0.2139,0.003487,30864,692.04
freiburg3_long_office_household,1,21.1363,0.7396,0.1943,0.012539,89550,457.50
freiburg3_nostructure_texture_far,1,24.6875,0.8306,0.2470,0.076847,65493,705.02
freiburg3_nostructure_texture_near_withloop,1,26.1410,0.8534,0.1675,0.021246,43443,959.23
freiburg3_structure_notexture_far,1,29.1057,0.9427,0.0807,0.009073,62184,595.84
freiburg3_structure_notexture_near,1,28.0321,0.9398,0.0883,0.016863,139728,369.21
freiburg3_structure_texture_far,1,25.8617,0.8564,0.1242,0.009867,20948,908.10
freiburg3_structure_texture_near,1,23.9750,0.8305,0.1760,0.009830,41773,861.85
