experiment,lambda_dssim,lambda_geo,lambda_smooth,lambda_var,lambda_iso,lambda_align,flatten_z,scene,avg_psnr,avg_ssim,avg_lpips,avg_accuracy,avg_completion,avg_comp_ratio
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,office0,35.6041,0.9509,0.0834,19.5378,13.1464,37.24
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,office1,38.0083,0.9558,0.0606,16.2113,14.7486,29.13
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,office2,29.3582,0.9182,0.1073,12.6595,12.3909,36.36
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,office3,31.1199,0.9196,0.0972,43.0538,10.3783,40.70
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,office4,33.3338,0.9386,0.0789,14.0436,13.7870,26.20
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,room0,27.3369,0.7993,0.1476,31.2483,12.4760,32.47
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,room1,30.3148,0.9007,0.0988,29.4680,10.3912,39.13
baseline,0.2,0.0,0.0,0.0,0.0,0.0,false,room2,31.7937,0.9291,0.0709,155.8690,9.5992,39.73
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,office0,35.8162,0.9516,0.0759,2.9801,2.9926,86.48
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,office1,37.1812,0.9519,0.0641,2.4262,3.7721,82.78
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,office2,30.4420,0.9250,0.0990,3.5259,4.8096,79.37
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,office3,32.2997,0.9271,0.0890,3.3165,4.4494,81.31
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,office4,34.3856,0.9451,0.0679,2.6456,4.8304,82.42
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,room0,28.6394,0.8494,0.1123,2.9647,4.2453,86.11
geo03,0.2,0.3,0.0,0.0,0.0,0.0,false,room1,30.5848,0.8982,0.0877,2.1642,3.5329,87.33
